KEY TEXT BITS CHANGE

Plaintext				Toggle Bit	Flip Bits	Percentage of Changed Bits

Average percentage of 100 changed cipher text: 49.453125

87bbb323c5fdb258112ac77880491aa5	100		60			46.875
3728766921894762de9dd1f477064fc9	30		64			50.0
0e63d33238cf5aa8fb0e6273f7026ef9	28		67			52.34375
45112f1478a2d18b776d27c7d4e5b5ef	92		58			45.3125
672b697f15c8cd17d71e90c546906074	35		62			48.4375
d3934de2860c68f694b86f8e6a86c2b2	78		64			50.0
3efdef210668e8059b8ab12bbfe7be4e	24		74			57.8125
2f212e6614332e3acbf9e18faaf7919a	53		67			52.34375
8246d295f36a3a7a7aaa9849f235348b	62		59			46.09375
e61710b92b060e76f17a0d394407d8cf	17		63			49.21875
5fca55b506594e05eb4d6234b0ed43bf	99		67			52.34375
c493ab7a148a617b1aa56bce2a510ba4	5		55			42.96875
42711bc8a716f581a20b02630ad8e74e	44		74			57.8125
d73ddb21586720779c5026238c4fb5bc	60		65			50.78125
d7183371807495009591821a5124d20b	95		66			51.5625
6b1c5a0bc07a91810c15120fdd6ae6f2	18		59			46.09375
0d64c38979bf7f65f7f4f9aa17785369	57		67			52.34375
0e6395f3556580bd3f99dc97cb09ce37	21		65			50.78125
118b4535bc5045833f0232122bffe4b5	80		67			52.34375
8d4292c8601cf7ef49e36e024aa1760f	45		70			54.6875
4e2b55bcb21d14ba218d04d9a07b560b	95		60			46.875
f4b8e7006a797bb980a8834189c4a572	22		60			46.875
721714fb0348166592c06b40c555a0e6	102		73			57.03125
9061cce43ccad0d9789d7176fa34e028	90		58			45.3125
6a27227098add59ec76e46132dac5998	57		65			50.78125
f0443876df603d2708c629794df291eb	56		69			53.90625
640829399b78a3253661d0b1a863d2fe	14		53			41.40625
dea81ae59c23542243c5699c744a5ae3	47		67			52.34375
cb0cfc8974af036993a8ce2b4837d13a	46		76			59.375
6ae0a3bcfc1c424f7e2d2223a0e97b50	101		64			50.0
4efc4b6bcdc41c09d2ec6f7e5cc8f54f	109		64			50.0
df1ba336c80ba0bd50d0101c41ea706f	90		61			47.65625
d8e3eecd8f272b512bbde04a76aebee1	32		65			50.78125
ca38f86109f3c7678c0e8f9809e5a2ea	61		65			50.78125
98e5bb3fe2d2f87510e0939a6887337e	85		62			48.4375
fa91190908aaae5248289473e800476a	101		65			50.78125
fa08fbce2fde58a137a33e8642073327	50		59			46.09375
79cfad854e6c4197d88ceb1d11035e13	97		65			50.78125
ab0a69e9200da713962b89d45508650b	59		61			47.65625
97b639eea46947bed22a9f24f25ed806	68		64			50.0
982ccf439e5f4be461c572e5329bd09f	90		60			46.875
def9e14a1456c7170bc095663f46de31	122		73			57.03125
ee052f17d1a1412a0d346a7faa16168b	10		63			49.21875
1e0941bee5f9f0f69829652ee7b83b00	67		72			56.25
1a53824022fca49550021a53ce274d13	113		57			44.53125
62e150cfa1c18afbcdb358a51c95f0c1	37		67			52.34375
c9c50e103c833fc31dd2e84af0e186ff	43		58			45.3125
f7dc6841114ee3d1406aab544ea7e4d4	73		65			50.78125
e8d44dd505c81dd3abac2dfb9fcef31d	27		52			40.625
6c834f273e044712c667f6a92fbabfe3	34		65			50.78125
a58c6874a867260b6e5218c8aefdaddf	30		75			58.59375
8b59601e729df9287326d3b3b0a6e5ca	92		64			50.0
6b5e47928e9bb58e1b8b4d962d1527bb	67		69			53.90625
64b1c5de34b7b36f9ecfb18b016496f4	111		57			44.53125
e9f035245fc93c74a775371b6d613a46	39		66			51.5625
427ac68d4e63a4e1d98be3219417323d	12		59			46.09375
0af01a700513e6c148d80922ffe4e238	39		71			55.46875
b210287fcab7f612fcd2d8601a25a1b0	13		54			42.1875
fddc43caa8e63b1a72707a5ab56895c9	120		64			50.0
820ea452ef5edb541abc93dc833ee0b1	29		63			49.21875
2edec49db28ed421da422d869e8b3e14	54		60			46.875
bf1a729a4727162f894d4e830174b05d	126		65			50.78125
4a8f6c8ccbc101e775ebd4190dd3e47c	116		51			39.84375
b5b9e5779b930f98decc540405446b39	3		63			49.21875
3dd14bb3dc3284d478ed06a791baee3e	43		68			53.125
f21c20dbf56a6a94ed0e14e23fabfa7e	51		69			53.90625
369ad160102143f85903c4a3fdc30c9a	35		61			47.65625
42f3d5529c481d27ccc75b64a134f596	17		63			49.21875
a1c57ac9cde707a7cc6eb4646187c74d	25		61			47.65625
b33829991b2c10bbd0dad4df5b09de91	60		65			50.78125
2ce41588bf8e3dc6c648185f0ec3b154	25		56			43.75
9206974a39093e6f8daaab07df0089b1	109		62			48.4375
c20b9bf6cd59b4447cd16b07966b3e10	48		61			47.65625
6b63f97300585aeeda686e3edeb0a253	93		74			57.8125
91a797ac2059698b63c0bfe1c8bb3a56	111		70			54.6875
0c139de4baa4fabaca661f1b487d5cce	114		62			48.4375
06482eb022f951ef3194c598b744ec10	34		59			46.09375
81666b71ee1f4419b2647b974fa83c10	12		53			41.40625
cf72aa267b922b6ddae28f30b2fdd262	66		68			53.125
180c2896672e1dff28e2739c64621214	86		68			53.125
d772a89115fa4e3893a906aa4c540f7f	58		67			52.34375
5ddfc2212cf9e2b3016edde137da0d7a	31		71			55.46875
4d28d1e5181188e5d19c0fac553c6ca7	22		73			57.03125
1eb9bdda88fda20852f65156ba4cfcd6	12		61			47.65625
9dd82908ee54f13a49786a07de3f0d01	54		64			50.0
683fa648029dd8516f1847841e15a88a	9		66			51.5625
73fef77e3f6fd3edf14e412a398fc030	73		64			50.0
87b5a30f65adae8bef7058a9d3bc5c2e	4		67			52.34375
be193963f5c588d7fdda6cd8f510f5ef	38		65			50.78125
09cc188bb808c551a4ebc5748b0b8fec	102		61			47.65625
aa7faedf390b656ae2cd6cbde571540b	112		76			59.375
ba705994461d7a93a61326a23617a952	56		60			46.875
a42a7dca73cda06f552014ad1835017c	21		64			50.0
a89e74a2967db82d48634ce50754fa6d	74		62			48.4375
598a61264c0749574b62e9a7e1c3788c	36		69			53.90625
202e12b0737048d3209463dc6ca4cb44	37		56			43.75
b6537798aeaf32a3fa0a3bf8d07d193a	52		65			50.78125
aea46494e580a5ec03ef3bfd196997fc	31		55			42.96875
e950951fc249f235d6c8e7fcb6c84c44	86		62			48.4375

