PLAIN TEXT BITS CHANGE

Plaintext				Toggle Bit	Flip Bits	Percentage of Changed Bits

Average percentage of 100 changed cipher text: 49.9140625

9c8427fbf8484791764e30e02187ffa1	13		52			40.625
87bbb323c5fdb258112ac77880491aa5	72		67			52.34375
3728766921894762de9dd1f477064fc9	30		67			52.34375
0e63d33238cf5aa8fb0e6273f7026ef9	86		73			57.03125
45112f1478a2d18b776d27c7d4e5b5ef	47		64			50.0
672b697f15c8cd17d71e90c546906074	94		63			49.21875
d3934de2860c68f694b86f8e6a86c2b2	86		61			47.65625
3efdef210668e8059b8ab12bbfe7be4e	10		70			54.6875
2f212e6614332e3acbf9e18faaf7919a	26		64			50.0
8246d295f36a3a7a7aaa9849f235348b	62		61			47.65625
e61710b92b060e76f17a0d394407d8cf	23		59			46.09375
5fca55b506594e05eb4d6234b0ed43bf	31		59			46.09375
c493ab7a148a617b1aa56bce2a510ba4	114		58			45.3125
42711bc8a716f581a20b02630ad8e74e	9		69			53.90625
d73ddb21586720779c5026238c4fb5bc	1		63			49.21875
d7183371807495009591821a5124d20b	77		56			43.75
6b1c5a0bc07a91810c15120fdd6ae6f2	51		59			46.09375
0d64c38979bf7f65f7f4f9aa17785369	35		62			48.4375
0e6395f3556580bd3f99dc97cb09ce37	119		76			59.375
118b4535bc5045833f0232122bffe4b5	86		53			41.40625
8d4292c8601cf7ef49e36e024aa1760f	33		67			52.34375
4e2b55bcb21d14ba218d04d9a07b560b	95		61			47.65625
f4b8e7006a797bb980a8834189c4a572	118		70			54.6875
721714fb0348166592c06b40c555a0e6	6		61			47.65625
9061cce43ccad0d9789d7176fa34e028	98		58			45.3125
6a27227098add59ec76e46132dac5998	50		60			46.875
f0443876df603d2708c629794df291eb	11		64			50.0
640829399b78a3253661d0b1a863d2fe	20		68			53.125
dea81ae59c23542243c5699c744a5ae3	50		69			53.90625
cb0cfc8974af036993a8ce2b4837d13a	122		71			55.46875
6ae0a3bcfc1c424f7e2d2223a0e97b50	57		66			51.5625
4efc4b6bcdc41c09d2ec6f7e5cc8f54f	47		66			51.5625
df1ba336c80ba0bd50d0101c41ea706f	40		67			52.34375
d8e3eecd8f272b512bbde04a76aebee1	49		67			52.34375
ca38f86109f3c7678c0e8f9809e5a2ea	106		65			50.78125
98e5bb3fe2d2f87510e0939a6887337e	103		74			57.8125
fa91190908aaae5248289473e800476a	94		61			47.65625
fa08fbce2fde58a137a33e8642073327	13		69			53.90625
79cfad854e6c4197d88ceb1d11035e13	16		59			46.09375
ab0a69e9200da713962b89d45508650b	77		63			49.21875
97b639eea46947bed22a9f24f25ed806	44		65			50.78125
982ccf439e5f4be461c572e5329bd09f	36		65			50.78125
def9e14a1456c7170bc095663f46de31	3		71			55.46875
ee052f17d1a1412a0d346a7faa16168b	65		62			48.4375
1e0941bee5f9f0f69829652ee7b83b00	97		68			53.125
1a53824022fca49550021a53ce274d13	27		65			50.78125
62e150cfa1c18afbcdb358a51c95f0c1	96		58			45.3125
c9c50e103c833fc31dd2e84af0e186ff	4		68			53.125
f7dc6841114ee3d1406aab544ea7e4d4	120		60			46.875
e8d44dd505c81dd3abac2dfb9fcef31d	24		69			53.90625
6c834f273e044712c667f6a92fbabfe3	70		60			46.875
a58c6874a867260b6e5218c8aefdaddf	97		65			50.78125
8b59601e729df9287326d3b3b0a6e5ca	107		61			47.65625
6b5e47928e9bb58e1b8b4d962d1527bb	120		67			52.34375
64b1c5de34b7b36f9ecfb18b016496f4	90		64			50.0
e9f035245fc93c74a775371b6d613a46	96		61			47.65625
427ac68d4e63a4e1d98be3219417323d	92		69			53.90625
0af01a700513e6c148d80922ffe4e238	32		74			57.8125
b210287fcab7f612fcd2d8601a25a1b0	77		68			53.125
fddc43caa8e63b1a72707a5ab56895c9	45		70			54.6875
820ea452ef5edb541abc93dc833ee0b1	84		56			43.75
2edec49db28ed421da422d869e8b3e14	117		65			50.78125
bf1a729a4727162f894d4e830174b05d	5		69			53.90625
4a8f6c8ccbc101e775ebd4190dd3e47c	73		57			44.53125
b5b9e5779b930f98decc540405446b39	11		62			48.4375
3dd14bb3dc3284d478ed06a791baee3e	61		58			45.3125
f21c20dbf56a6a94ed0e14e23fabfa7e	84		71			55.46875
369ad160102143f85903c4a3fdc30c9a	118		67			52.34375
42f3d5529c481d27ccc75b64a134f596	106		69			53.90625
a1c57ac9cde707a7cc6eb4646187c74d	7		64			50.0
b33829991b2c10bbd0dad4df5b09de91	0		61			47.65625
2ce41588bf8e3dc6c648185f0ec3b154	70		58			45.3125
9206974a39093e6f8daaab07df0089b1	89		66			51.5625
c20b9bf6cd59b4447cd16b07966b3e10	91		62			48.4375
6b63f97300585aeeda686e3edeb0a253	122		63			49.21875
91a797ac2059698b63c0bfe1c8bb3a56	60		67			52.34375
0c139de4baa4fabaca661f1b487d5cce	4		69			53.90625
06482eb022f951ef3194c598b744ec10	32		71			55.46875
81666b71ee1f4419b2647b974fa83c10	95		58			45.3125
cf72aa267b922b6ddae28f30b2fdd262	80		56			43.75
180c2896672e1dff28e2739c64621214	4		64			50.0
d772a89115fa4e3893a906aa4c540f7f	99		59			46.09375
5ddfc2212cf9e2b3016edde137da0d7a	55		62			48.4375
4d28d1e5181188e5d19c0fac553c6ca7	100		67			52.34375
1eb9bdda88fda20852f65156ba4cfcd6	36		55			42.96875
9dd82908ee54f13a49786a07de3f0d01	60		60			46.875
683fa648029dd8516f1847841e15a88a	49		65			50.78125
73fef77e3f6fd3edf14e412a398fc030	20		65			50.78125
87b5a30f65adae8bef7058a9d3bc5c2e	36		74			57.8125
be193963f5c588d7fdda6cd8f510f5ef	117		61			47.65625
09cc188bb808c551a4ebc5748b0b8fec	9		62			48.4375
aa7faedf390b656ae2cd6cbde571540b	64		69			53.90625
ba705994461d7a93a61326a23617a952	107		53			41.40625
a42a7dca73cda06f552014ad1835017c	7		56			43.75
a89e74a2967db82d48634ce50754fa6d	70		56			43.75
598a61264c0749574b62e9a7e1c3788c	95		64			50.0
202e12b0737048d3209463dc6ca4cb44	102		66			51.5625
b6537798aeaf32a3fa0a3bf8d07d193a	123		58			45.3125
aea46494e580a5ec03ef3bfd196997fc	17		64			50.0
e950951fc249f235d6c8e7fcb6c84c44	103		68			53.125

